book_id,avg_sentence_length,avg_char_per_word,avg_punctuation_per_sentence,long_word_ratio,noun_ratio,verb_ratio,adverb_ratio,preposition_ratio,adjective_ratio,article_ratio,gerund_infinitive_ratio,downtoner_ratio,amplifier_ratio,demonstrative_ratio,type_token_ratio,genre
pg44018.epub,0.0436,4.3955,5.4425,0.1811,0.2354,0.1877,0.0591,0.1322,0.0746,0.0792,0.0243,0.0022,0.0031,0.0154,0.0082,Literary
pg35509.epub,0.0621,4.3673,3.5867,0.1794,0.2425,0.1732,0.0597,0.1339,0.0805,0.0869,0.0232,0.0022,0.0038,0.0124,0.0147,Literary
pg41564.epub,0.0437,4.2362,5.1578,0.16,0.1981,0.2051,0.0792,0.1114,0.0717,0.0576,0.0208,0.0043,0.0045,0.0148,0.0058,Literary
pg30075.epub,0.0796,4.2663,3.1444,0.1719,0.2304,0.2084,0.0589,0.1071,0.0564,0.069,0.0182,0.0017,0.0016,0.0133,0.0147,Literary
pg30436.epub,0.0684,4.3043,3.0671,0.1614,0.24,0.1855,0.0619,0.1116,0.081,0.0682,0.0154,0.0026,0.0024,0.015,0.0028,Literary
pg34933.epub,0.0372,4.3885,5.2014,0.1846,0.2244,0.1863,0.063,0.1183,0.0706,0.0605,0.0174,0.003,0.0027,0.0176,0.0152,Literary
pg45042.epub,0.0625,4.3644,3.7307,0.1858,0.2302,0.1911,0.0659,0.1161,0.076,0.0746,0.02,0.0022,0.0028,0.0141,0.0342,Literary
pg7758.epub,0.0556,4.3162,3.091,0.1727,0.2164,0.1849,0.0581,0.1238,0.0641,0.0714,0.009,0.0057,0.0012,0.0186,0.0816,Literary
pg35785.epub,0.0864,4.006,2.755,0.133,0.2048,0.2168,0.0599,0.112,0.0555,0.0639,0.0205,0.0026,0.0018,0.0165,0.0023,Literary
pg39768.epub,0.0668,4.3028,3.5736,0.1712,0.2457,0.1764,0.0495,0.1299,0.0697,0.0823,0.0179,0.0018,0.0032,0.0136,0.004,Literary
pg1342JaneAustenPP.epub,0.0535,4.3963,3.5348,0.1947,0.2095,0.1947,0.0723,0.1249,0.0655,0.0537,0.0189,0.0033,0.006,0.0164,0.0016,Literary
pg32882.epub,0.0789,4.3503,2.8555,0.1738,0.2383,0.1949,0.056,0.1154,0.0744,0.0777,0.0188,0.0016,0.0016,0.0113,0.0029,Literary
pg8865.epub,0.1059,4.316,2.9143,0.1682,0.253,0.2036,0.064,0.0929,0.0775,0.0573,0.0182,0.0018,0.0011,0.0104,0.0144,Literary
pg22158.epub,0.1007,4.2572,2.472,0.1663,0.2356,0.1901,0.0645,0.1058,0.0612,0.0781,0.0143,0.0022,0.0019,0.0183,0.0043,Literary
pg11655.epub,0.0656,4.3731,3.0404,0.1751,0.2459,0.1837,0.0559,0.1264,0.0751,0.0847,0.0166,0.0026,0.002,0.0198,0.0029,Literary
pg23606.epub,0.081,3.7575,3.4139,0.0792,0.2097,0.211,0.0603,0.1076,0.0532,0.0511,0.0176,0.002,0.0007,0.0178,0.0032,Literary
pg15013.epub,0.1094,4.1727,2.7123,0.1522,0.2101,0.2164,0.0722,0.1079,0.0585,0.0553,0.0173,0.004,0.0035,0.0155,0.0033,Literary
pg26259.epub,0.0766,4.1774,3.2076,0.154,0.2325,0.1869,0.0602,0.1116,0.0638,0.0677,0.0173,0.0023,0.003,0.0163,0.0033,Literary
pg51628.epub,0.0358,4.43,5.7621,0.1898,0.2332,0.1712,0.0598,0.137,0.079,0.0826,0.0186,0.003,0.004,0.0192,0.0065,Literary
pg8464.epub,0.0886,4.1178,3.1061,0.1441,0.2181,0.2044,0.0571,0.1138,0.0572,0.0571,0.0147,0.0015,0.0028,0.0149,0.0038,Literary
pg13432.epub,0.049,4.351,3.7267,0.1793,0.2233,0.1681,0.054,0.1362,0.0817,0.0783,0.0176,0.0032,0.0032,0.0163,0.0089,Literary
pg18984.epub,0.0792,3.8876,4.1476,0.1088,0.2584,0.2064,0.0474,0.0992,0.0593,0.0753,0.014,0.0011,0.0006,0.0161,0.0067,Literary
pg21944.epub,0.0717,4.3158,3.0288,0.1722,0.2384,0.208,0.0551,0.1082,0.068,0.0676,0.0192,0.0025,0.0022,0.0138,0.0082,Literary
pg43498.epub,0.0478,4.2156,4.3065,0.1548,0.2091,0.1959,0.0718,0.1207,0.0649,0.062,0.0188,0.0038,0.0032,0.0189,0.0049,Literary
pg17084.epub,0.0531,4.3621,3.6586,0.1785,0.2238,0.1805,0.0713,0.1272,0.0772,0.0751,0.019,0.0043,0.0042,0.0143,0.0052,Literary
pg22273.epub,0.0644,4.2496,3.8912,0.1587,0.2284,0.1848,0.0641,0.1268,0.069,0.0804,0.019,0.0028,0.003,0.0109,0.0431,Literary
pg34794.epub,0.0472,4.3861,4.1919,0.1868,0.2574,0.1747,0.0598,0.1213,0.067,0.0734,0.0158,0.0035,0.0031,0.0142,0.0019,Literary
pg30090.epub,0.0638,4.2886,3.5706,0.1689,0.2463,0.1826,0.0632,0.1193,0.0713,0.0757,0.0172,0.004,0.0031,0.016,0.0079,Literary
pg41339.epub,0.0508,4.3894,4.0054,0.1778,0.2453,0.1767,0.0599,0.1254,0.0802,0.0752,0.0169,0.0031,0.0039,0.0166,0.0084,Literary
pg29766.epub,0.0703,4.2989,3.1214,0.1707,0.227,0.1887,0.0575,0.1286,0.0708,0.0666,0.018,0.0027,0.0027,0.0179,0.0047,Literary
pg42714.epub,0.0963,4.1698,3.629,0.1617,0.2391,0.209,0.0646,0.0974,0.0588,0.0587,0.015,0.0027,0.0014,0.0168,0.0048,Mystery
pg42807.epub,0.0641,4.1869,3.1646,0.1674,0.1996,0.2089,0.0617,0.1233,0.0574,0.0743,0.016,0.0033,0.0032,0.0212,0.0054,Mystery
pg46402.epub,0.0628,4.3174,3.475,0.1752,0.2371,0.2038,0.0665,0.1153,0.0563,0.07,0.0241,0.0031,0.0028,0.0145,0.0099,Mystery
pg44841.epub,0.0894,4.1319,3.4183,0.1462,0.2361,0.2036,0.0624,0.1014,0.06,0.0619,0.0122,0.0027,0.0019,0.019,0.0046,Mystery
pg33695.epub,0.0575,4.2207,3.3883,0.1706,0.2028,0.1973,0.0598,0.1254,0.0612,0.0795,0.0207,0.0031,0.0019,0.0183,0.0298,Mystery
