name,hyphens,colons,semi_colon,interjections,Preposition_or_subordinating_conjunction,personal_pronoun,possessive_pronoun,male_oriented,female_oriented,comma,period, co_conjunction,fres
pg10473.epub,0.01039791,0.00014513,0.00005976,0.00489163,0.08200514,0.08490768,0.01598102,0.29632764,0.06346252,0.04949676,0.06243011,0.02614843,101.6369799
pg10943.epub,0.01430806,0.00111416,0.00455434,0.00291244,0.10015638,0.07347538,0.01843237,0.28349639,0.11931094,0.06039875,0.0480649,0.02668101,91.22241679
pg1155Agatha2.epub,0.01128972,0.00156745,0.0002971,0.00484577,0.08710084,0.08696766,0.01731363,0.21121918,0.13694862,0.04541497,0.06507464,0.02388051,97.75304089
pg11655.epub,0.02161743,0.00139043,0.00490308,0.00179292,0.10890677,0.06539382,0.02159548,0.31992934,0.21906285,0.05396308,0.04734027,0.03260178,93.22045692
pg1190.epub,0.0177227,0.00156377,0.00886135,0.00202711,0.12730222,0.08647053,0.02606279,0.49974267,0.08852291,0.0729758,0.02554153,0.0304645,81.57822821
pg1342JaneAustenPP.epub,0.0048893,0.00091239,0.01068402,0.00196408,0.11617298,0.08192006,0.03295747,0.2038317,0.23832909,0.06336582,0.03486583,0.03502602,79.11229672
pg13432.epub,0.0113352,0.00057045,0.00599883,0.0027602,0.12216621,0.08120492,0.02432652,0.16878815,0.25771579,0.06444134,0.03069337,0.03814589,82.47059293
pg13720HermanVoyage1.epub,0.01003959,0.00258385,0.01961808,0.00194876,0.12632999,0.04352517,0.02553396,0.19954649,0.06966491,0.08029928,0.03633042,0.03613903,81.40565304
pg13721HermanVoyage2.epub,0.01682363,0.00457431,0.02234963,0.00397566,0.10035843,0.04676384,0.02693929,0.1836926,0.02759555,0.08727254,0.0378378,0.03499805,86.04295289
pg1392.epub,0.01165868,0.00049612,0.00893005,0.00124029,0.1185712,0.06490822,0.02464032,0.32132964,0.066482,0.08020507,0.03034563,0.03704317,83.47561719
pg13960.epub,0.01492679,0.0001499,0.0010493,0.00520702,0.08952916,0.10335143,0.02426787,0.30495797,0.19652572,0.04510383,0.06307593,0.02611399,102.6534972
